laboratorio,cod_Barra,producto,exist_Caja,sist_Unid,valor_unid,valor_total
PENDIENTE RE,7896015517281,*COREGA ALMOHADILLAS CJA *,160,0,"14,600",0
PENDIENTE RE,7703363000214,*COREGA ULTRA  MENTA * 40 GR GTIS,40,0,"33,320",0
PENDIENTE RE,7702402055543,*CREM HELADO GOLD AREQUIPE ALFAJOR,0,0,"18,600",0
PENDIENTE RE,7702006298797,*CREM PEINAR BIOEXPERT OMEGA SOB X,0,0,"9,000",0
PENDIENTE RE,7702078305768,*CREMA ARRURRU NAT A/PANALITIS X,600,0,0,0
PENDIENTE RE,7702277036715,*DEPILADOR CONFETI FREESTYLE UNDAD,0,0,"2,000",0
PENDIENTE RE,7702277109310,*DEPILEX BANDAS DEP FAC ALOE VERA,30,0,"14,300",0
PENDIENTE RE,7702277000044,*DEPILEX CREMA DEPILATORIA AVENA *,0,0,0,0
PENDIENTE RE,7702277947998,*DEPILEX PARA HOMBRE X 190 GR,0,0,"16,000",0
PENDIENTE RE,7702277148852,*DESODORANTE GEL  MICKEY MOUSE *,500,0,"8,000",0
PENDIENTE RE,7702870101162,*DESODORANTE PREVENTIVE ZERO CJA *,0,0,"10,100",0
PENDIENTE RE,7702277148845,*DESODORANTE ROLLON MICKEY MOUSE *,0,0,"9,000",0
PENDIENTE RE,7451079002922,*DOLEX DURA + X 24 TBS,0,0,"21,300",0
PENDIENTE RE,7707172689615,*DOLEX FORTE PAG 24 LLEVE 32 TABLS,0,0,0,0
PENDIENTE RE,7707172685815,*DOLEX GOTAS X 30 ML,0,0,"9,900",0
PENDIENTE RE,7703363006056,*DOLEX GOTAS(5)DOLEX JABE (5)DOLEX,0,0,0,0
PENDIENTE RE,7441026001436,*DOLEX GRIPA NINOS JBE X 120 ML,0,0,"10,000",0
PENDIENTE RE,7707172689226,*DOLEX GRIPA NIÃ‘OS JB FCO * 120ML,0,0,"17,000",0
PENDIENTE RE,7707172688113,*DOLEX SINUS X 8 TABLS PAG 3 LLEVE,0,0,"18,200",0
PENDIENTE RE,7707172687284,*DOLEX SINUS X 8 TABS,0,0,"6,500",0
PENDIENTE RE,7707172682760,*DOLEX ULTRARAPIDO X 8 TABLS,0,0,0,0
PENDIENTE RE,7703889084170,*DOLONIME * 10 TAB,0,0,"52,500",0
PENDIENTE RE,7703889066145,*DOLONIME * 60 ML,0,0,"30,300",0
PENDIENTE RE,7702050013209,*DORITOS DOBLE BOLSA X 150 GRS,0,0,0,0
PENDIENTE RE,7702189047083,*DORITOS INFERNO AJI ENDIABLADO *,30,0,"2,000",0
PENDIENTE RE,7702189047090,*DORITOS INFERNO CHILE APOCALIPSIS,0,0,"2,000",0
PENDIENTE RE,7702189037725,*DORITOS MEGA QUESO X 190 GR FRITO,0,0,"3,900",0
PENDIENTE RE,7702050029729,*DORITOS NOCHE 40G,0,0,0,0
PENDIENTE RE,7506205801259,",7*ENFAMIL 1 * 400 GRS",0,0,"46,500",0
PENDIENTE RE,7501095474071,",7*ENFAMIL 1 * 900 GRS",0,0,0,0
PENDIENTE RE,7503013040771,",7*ENFAMIL 2 * 400 GRS",0,0,"26,500",0
PENDIENTE RE,7503013040856,*ENFAMIL PREMATUROS PREMIUN X  400,0,0,"56,900",0
PENDIENTE RE,7503013040405,",7*ENFAMIL PREMIUM 1 * 900 GRS",0,0,"83,000",0
PENDIENTE RE,7506205807442,*ENFAMIL PREMIUM 2 X 850 GRS,0,0,"97,300",0
PENDIENTE RE,7503013040139,*ENFAMIL PREMIUM CONFORT * 400 GRS,0,0,"58,200",0
PENDIENTE RE,7506205801396,*ENFAMIL PREMIUM SOYA * 400 GRS,0,0,"42,000",0
PENDIENTE RE,8710428995063,*ENSURE COMPACT VAINIILA LIQ * 125,0,0,"9,000",0
PENDIENTE RE,8710428001085,*ENSURE FRESA PREBIOTICOS F-I  X,400,0,0,0
PENDIENTE RE,7703186068118,",7*ENSURE PLUS HN LPC X 1000 ML",0,0,0,0
PENDIENTE RE,7702418004597,*EUTIROX 112 MCG X 50 TABLS,0,0,"56,000",0
PENDIENTE RE,7702418004603,*EUTIROX 137 MCG X 50TAB,0,0,"47,900",0
PENDIENTE RE,7702418004580,*EUTIROX 88 MCG X 50 TABLS,0,0,"33,000",0
PENDIENTE RE,7707274721558,***FEVENY 0.625 MG CREMA VAG * 43 GR,0,0,"38,300",0
PENDIENTE RE,7707174320066,*GALMIFIX CREMA X 30 GRS,0,0,"12,000",0
PENDIENTE RE,7702277051268,*GEL ANTIBACTERIAL AROMASENSE X 37,0,0,0,0
PENDIENTE RE,8712000017941,*HEINEKEN LT,0,0,0,0
PENDIENTE RE,7702402046244,",7*HELADO POLET COOKIES AND CREAM",0,0,0,0
PENDIENTE RE,7702402045308,",7*HELADO POLET DOBLE CHOCOLATE X 78",0,0,0,0
